Study,Population,Population_type,Tool,Tool_type,Cs,Mean_Cs,SD_Cs,Patho,Mean_patho,SD_patho,Pooled SD,Effect_size,g_ANCOVA,g_lower,g_upper,Comment
"Bahk et al., 2015",SZ,1,k-FEIT/k-FEDT,1,,,,,,,,,,,,no ctrl group
"Cruz et al., 2022",SZ,1,FERT,1,89,"44,17","10,92",104,"34,59",13,"12,08622668","0,7926377895",,,,
"Depp et al., 2021",SZ,1,METER,1,,,,,,,,,,,,no ctrl group
"Kern / Olbert et al., 2013",SZ,1,Emo-Bio-Motion,1,88,"0,77","0,11",173,"0,69","0,12","0,1167365115","0,6853040145",,,,
"Lee et al., 2020",SZ,1,FERD-Screener,1,101,"1,41","0,35",351,"0,54","0,67","0,6134872995","1,418122267",,,,
"Lo et al., 2018",SZ,1,c-FEIT,1,19,"15,47","2,5",19,"13,63","3,9","3,275667871","0,56171751",,,,
"Ludwig et al., 2017",SZ,1,BLERT,1,39,"17,59","2,04",38,"17,14","2,12","2,079851277","0,216361624",,,,
"Ludwig et al., 2017",SZ,1,ER-40,1,39,"33,67",3,38,"32,05","3,54","3,2775381","0,4942734303",,,,
"Pinkham et al., 2018",SZ,1,BLERT,1,154,"15,92","2,7",218,"13,93","4,02","3,534454658","0,5630288666",,,,
"Pinkham et al., 2018",SZ,1,ER-40,1,154,"32,94","3,19",218,"31,12","4,28","3,866710348","0,4706843378",,,,
"Song et al., 2015",SZ,1,computerized FERT,1,41,,,44,,,,,1.967489,1.092355,2.817372,
"Agashe et al., 2018",SZ,1,False belief,2,15,"85,11","18,89",15,"55,78","21,17","20,06241511","1,46193765",,,,ANCOVA but no value
"Bonfils et al., 2020",SZ,1,IBAT,2,35,"41,34","7,3",39,"29,31","11,14","9,521645516","1,263437079",0.6880577,0.2205051,1.151117,hedges g derived from ANCOVA F
"Briend et al., 2019",SZ,1,V-SIR,2,28,"12,89","2,55",20,"18,32","5,64","4,117697489","1,318698135",,,,
"Chakrabarty et al., 2021",SZ,1,RMET-R,2,104,"68,9","13,8",23,"49,7","16,5","14,31218222","1,341514501",,,,
"Charernboon et al., 2017",SZ,1,RMET,2,40,"24,6","3,9",30,"18,2","4,1","3,986521409","1,605409665",,,,
"Chen et al., 2017",SZ,1,Strange Stories,2,,,,,,,,,,,,no ctrl group
"Chen et al., 2017",SZ,1,Faux-Pas,2,,,,,,,,,,,,no ctrl group
"Chen et al., 2017",SZ,1,RMET,2,,,,,,,,,,,,no ctrl group
